filename;content;junior;senior;expert;consensus
158.yaml;TITLE : Authentiq Connect API\nDESCRIPTION :\n      Authentiq Connect OAuth 2.0 and OpenID Connect API reference. Learn about [Authentiq\n      ID](https://www.authentiq.com/) or check out the [Authentiq Connect](https://developers.authentiq.com) developer\n      documentation.\nENDPOINTS :\n    - GET /authorize\n      Authenticate a user\n    - GET /client\n      List clients\n    - POST /client\n      Register a client\n    - DELETE /client/{client_id}\n      Delete a client\n    - GET /client/{client_id}\n      View a client\n    - PUT /client/{client_id}\n      Update a client\n    - POST /token\n      Obtain an ID Token\n    - GET /userinfo\n      Retrieve a user profile\n    - GET /{client_id}/iframe\n      Include a session iframe;client;client;user-password;client
159.yaml;TITLE : Currency Excahnge API\nDESCRIPTION :\n      This is a simple currency exchange API\nENDPOINTS :\n    - GET /currencies\n      all available excahnge currencies\n    - GET /rates\n      real-time or historical exchange rates\n    - POST /convert\n      amount from one currency to another\n    - GET /sources\n      list of external sources\n    - GET /cross-rates\n      real-time or historical cross rates;currency;currency;currency;currency
16.yaml;TITLE : Merchant Identifier API V2\nDESCRIPTION :\n      API for Merchant Identifier\nENDPOINTS :\n    - GET /merchant-ids\n      Returns merchant descriptor and locator information based on the criteria you provide.  Information returned\n      includes merchant DBA name, merchant category code (MCC), street address, city, state, postal code, country, and\n      sales channels.;client;other;client;client
162.yaml;TITLE : FundTransfer API\nDESCRIPTION :\n      Transfers of funds between accounts within the same financial institution or between an account within the\n      financial institution and an account in  another institution\nENDPOINTS :\n    - POST /fundtransfer\n      Insert a FundTransfer;transfer;transfer;transfer;transfer
163.yaml;TITLE : PasswordUtility.Web\nDESCRIPTION :\n      Validate and generate passwords using open source tools\nENDPOINTS :\n    - POST /api/password/generate\n    - POST /api/password/validate;user-password;user-password;user-password;user-password
165.yaml;TITLE : Api Documentation\nDESCRIPTION :\n      Api Documentation\nENDPOINTS :\n    - POST /authentication/forgotPassword\n      forgotPassword\n    - POST /authentication/register\n      register\n    - POST /authentication/setForgotPassword\n      validates the mail token and set new password\n    - POST /authentication/token\n      authenticate the user and returns the token\n    - POST /authentication/validateMailToken\n      validates the mail token;user-password;user-password;user-password;user-password
166.yaml;TITLE : User API\nDESCRIPTION :\n      The Vonage Business Cloud User API enables you to retrieve information about users.  Your application must\n      subscribe to the Provisioning API suite to use this API.\nENDPOINTS :\n    - GET /api/accounts/{account_id}/users\n      Get account users data by account ID\n    - GET /api/accounts/{account_id}/users/{user_id}\n      Get user data by account ID and user ID;user-password;user-password;user-password;user-password
168.yaml;TITLE : API Bitcoin Wallet\nDESCRIPTION :\n      api for bitcoin wallet in trustkeys\nENDPOINTS :\n    - GET /bitcoinapi/bitcoinwallet/main\n      return list transaction on network BTC\n    - POST /bitcoinapi/bitcoinwallet/main\n      send transaction on network main btc\n    - GET /bitcoinapi/bitcoinwallet/test\n      return list transaction on network BTCTEST\n    - POST /bitcoinapi/bitcoinwallet/test\n      send transaction on network testnet;blockchain;blockchain;blockchain;blockchain
169.yaml;"TITLE : Adyen Recurring API\nDESCRIPTION :\n      The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created\n      with validation during a payment request.  For more information, refer to our [Tokenization\n      documentation](https://docs.adyen.com/online-payments/tokenization). ## Authentication You need an [API\n      credential](https://docs.adyen.com/development-resources/api-credentials) to authenticate to the API.  If using an\n      API key, add an `X-API-Key` header with the API key as the value, for example:   ``` curl -H ""Content-Type:\n      application/json"" \ -H ""X-API-Key: YOUR_API_KEY"" \ ... ```  Alternatively, you can use the username and [...]\nENDPOINTS :\n    - POST /disable\n      Disable stored payment details\n    - POST /listRecurringDetails\n      Get stored payment details\n    - POST /notifyShopper\n      Ask issuer to notify the shopper\n    - POST /scheduleAccountUpdater\n      Schedule running the Account Updater";payment;payment;;payment
17.yaml;TITLE : Blockchain API\nDESCRIPTION :\n      API to monitor the status of multiple blockchains using their respective RPC endpoints\nENDPOINTS :\n    - GET /blockchains\n      Retrieve all blockchains\n    - POST /blockchains\n      Add or update a blockchain\n    - GET /blockchains/{name}\n      Retrieve details of a specific blockchain by its name\n    - DELETE /blockchains/{name}\n      Delete a specific blockchain by its name\n    - GET /status\n      Retrieve status information for all blockchains;blockchain;blockchain;blockchain;blockchain
171.yaml;TITLE : Currency exchange rate\nDESCRIPTION :\n      Currenty exchange rate API gives the exchange rate between US and CAD for latest or for any historic date.\nENDPOINTS :\n    - GET /exchange-rate\n      Return currency exchange rate list\n    - POST /exchange-rate\n      Add a exchange rate to the system\n    - PUT /exchange-rate/{id}\n      Update an existing exchange rate by date\n    - DELETE /exchange-rate/{id}\n      Deletes a exchange rate\n    - GET /exchange-rate/{date}/from/{from}/to/{to}\n      Get exchange rate {from} currency {to} currency for given date;currency;currency;currency;currency
172.yaml;TITLE : Bank\nDESCRIPTION :\n        You can use this inbound synchronous service to create, read, update, and mark bank master data for deletion.\n      Use a standard archiving tool for the actual deletion of bank master data. The service is based on the OData\n      protocol and can be consumed in SAP Fiori apps and other user interfaces.\nENDPOINTS :\n    - GET /Bank\n      Get entities from Bank\n    - POST /Bank\n      Add new entity to Bank\n    - GET /Bank(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}')\n      Get entity from Bank by key\n    - PATCH /Bank(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}')\n      Update entity in Bank\n    - GET /Bank(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}')/_BankAddress\n      Get entities from related _BankAddress\n    - POST /Bank(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}')/_BankAddress\n      Add new entity to related _BankAddress\n    - GET /BankAddress\n      Get entities from BankAddress\n    - GET /BankAddress(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}',AddressRepresentationCode='{AddressRepresentationCode}')\n      Get entity from BankAddress by key\n    - DELETE /BankAddress(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}',AddressRepresentationCode='{AddressRepresentationCode}')\n      Delete entity from BankAddress\n    - PATCH /BankAddress(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}',AddressRepresentationCode='{AddressRepresentationCode}')\n      Update entity in BankAddress\n    - GET /BankAddress(BankCountry='{BankCountry}',BankInternalID='{BankInternalID}',AddressRepresentationCode='{AddressRepresentationCode}')/_Bank\n      Get related _Bank\n    - POST /$batch\n      Send a group of requests;banking;banking;banking;banking
173.yaml;TITLE : RestAPI\nDESCRIPTION :\n      Welcome to the RestAPI, a comprehensive interface catering to various banking and financial management needs. This\n      API acts as a central hub, facilitating communication between different components for seamless execution of\n      RESTful operations.\nENDPOINTS :\n    - GET /savingsGoals\n      Get all Savings Goals\n    - POST /savingsGoals\n      Create a new periodical or rule-based Savings Goal\n    - GET /savingsGoals/{id}\n      Get Savings Goal by ID\n    - DELETE /savingsGoals/{id}\n      Delete a Savings Goal\n    - PATCH /savingsGoals/{id}\n      Update Savings Goal by ID;savings;savings;savings;savings
174.yaml;TITLE : Currency Exchange\nDESCRIPTION :\n      Currency Exchange REST API documentation\nENDPOINTS :\n    - GET /exchange\n      exchanges currencies\n    - GET /exchangeList\n      exchanges currencies;currency;currency;currency;currency
175.yaml;"TITLE : External Transfer\nDESCRIPTION :\n      This API enables customer to transfer money from their Citizens account to their registered external (non-\n      Citizens) account. Below are the list of RESTFul operations exposed in this API; |**S. No.**| **Resource Name** |\n      **Operation type** | **Operation Description** | **New/Update/No Change** | | -- | -------------- | ------ |\n      ------------------ | -------------- | |  1.| /recurring | POST | Create a recurring transfers as per the consumer\n      defined details | New | |  2.| recurring/query | POST | Fetches all the recurring transfer accounts details | New\n      | |  3.| recurring/details/query | POST | Fetch the details of the recurring transfer that has been setup by [...]\nENDPOINTS :\n    - POST /recurring\n      Creates external transfer recurring plan.\n    - POST /line-of-credit\n      Creates Line of Credit  transfer request\n    - POST /recurring/query\n      To view external recurring transfers setup by customer.\n    - POST /line-of-credit/query\n      To view external recurring transfers setup by customer.\n    - PATCH /line-of-credit/{referenceNumber}\n      To patch line of credit transfers by reference number.\n    - POST /recurring/details/query\n      Allows the consumer to view the transfer details of a particular recurring transfer plan.\n    - DELETE /recurring/{recurringTransferId}\n      Cancels a recurring transfer plan.\n    - PATCH /recurring/{recurringTransferId}\n      Updates the recurring transfer plan and changes all subsequent transfers.\n    - DELETE /recurring/nextTransfer/{recurringTransferId}\n      Allows the consumer to cancel the next upcoming transfer in the recurring transfer plan.\n    - PATCH /recurring/nextTransfer/{recurringTransferId}\n      Allows the customer to edit the upcoming next recurring transfer in the recurring transfer plan.\n    - POST /recurring-scheduled/details/query\n      Allows consumer to view one time scheduled and recurring external transfers setup by the customer.\n    - POST /verification-data/query\n      Retrieves the account verification options offered by the bank.";transfer;transfer;transfer;transfer
176.yaml;TITLE : Block Chain Implementation\nDESCRIPTION :\n      My own implementation of the block chain logics\nENDPOINTS :\n    - GET /users/item/id\n      Get User Data for given ID\n    - GET /transactions/item/id\n      Get Transaction Data for given ID\n    - GET /contracts/item/id\n      Get Contract Data for given ID\n    - GET /blocks/item/id\n      Get Block Data for given ID\n    - POST /users/item\n      Create User\n    - POST /transactions/item\n      Create Transaction\n    - POST /contracts/item\n      Create Contract\n    - POST /blocks/item\n      Create Block;transfer;blockchain;blockchain;blockchain
177.yaml;TITLE : Accounts Microservice\nDESCRIPTION :\n      This microservice is responsible for account profile creation, managing  account profiles and resetting passwords\nENDPOINTS :\n    - POST /register/complete\n      UC-11 Complete Registration\n    - GET /profile/iscomplete\n      UC-127 Check User has completed profile;user-password;user-password;client;user-password
178.yaml;TITLE : Endpoints\nDESCRIPTION :\n\nENDPOINTS :\n    - GET /v1/correlation\n      Correlation\n    - GET /v1/indices\n      Indices\n    - GET /v1/investor-grades\n      Investor Grades\n    - GET /v1/market-indicator\n      Market Indicator\n    - GET /v1/price\n      Price\n    - GET /v1/price-prediction\n      Price Prediction\n    - GET /v1/quantmetrics-tier-1\n      Quantmetrics Tier 1\n    - GET /v1/quantmetrics-tier-2\n      Quantmetrics Tier 2\n    - GET /v1/resistance-support\n      Resistance & Support\n    - GET /v1/scenario-analysis\n      Scenario Analysis\n    - GET /v1/sentiments\n      Sentiments\n    - GET /v1/tokens\n      Tokens\n    - GET /v1/trader-grades\n      Trader Grades\n    - GET /v1/trading-indicator\n      Trading Indicator;trading;trading;trading;trading
179.yaml;TITLE : ATM Locator API\nDESCRIPTION :\n\nENDPOINTS :\n    - GET /open-banking/v2.2/atms\n      This API will return data about all our ATMs and is prepared to the Open Banking standards as defined by the Open\n      Banking Implementation Entity (OBIE) in data dictionary version 2.2. It is regulated by the UK Competition and\n      Markets Authority (CMA). Data is only available for the United Kingdom.\n    - GET /x-open-banking/v2.2/atms/country/{country}\n      This extended API will return data about all ATMs in the specified country. It is based-on the Open Banking\n      standards as defined by the Open Banking Implementation Entity (OBIE) in data dictionary version 2.2. The extended\n      functionality may not fully adhere to the non-functional requirements of the regulator. Data is only [...]\n    - GET /x-open-banking/v2.2/atms/country/{country}/town/{town}\n      This extended API will return data about all ATMs in the specified town. It is based-on the Open Banking standards\n      as defined by the Open Banking Implementation Entity (OBIE) in data dictionary version 2.2. The extended\n      functionality may not fully adhere to the non-functional requirements of the regulator. Data is only [...]\n    - GET /x-open-banking/v2.2/atms/geo-location/lat/{latitude}/long/{longitude}\n      This extended API will data about all ATMs within a specified radius (1 to 10 miles) of the specified latitude and\n      longitude. It is based-on the Open Banking standards as defined by the Open Banking Implementation Entity (OBIE)\n      in data dictionary version 2.2. The extended functionality may not fully adhere to the non-functional [...]\n    - GET /x-open-banking/v2.2/atms/postcode/{postcode}\n      This extended API will return data about all ATMs within a 5 mile radius of the specified postcode. It is based-on\n      the Open Banking standards as defined by the Open Banking Implementation Entity (OBIE) in data dictionary version\n      2.2. The extended functionality may not fully adhere to the non-functional requirements of the regulator. [...];banking;banking;banking;banking
18.yaml;TITLE : Simple Payments SE - Create Payment\nDESCRIPTION :\n      Create Payment\nENDPOINTS :\n    - POST /v9/users/{userId}/payments\n      This provides an endpoint to create a payment;payment;payment;payment;payment
181.yaml;TITLE : Klarna Payments API V1\nDESCRIPTION :\n      The payments API is used to create a session to offer Klarna's payment methods as part of your checkout. As soon\n      as the purchase is completed the order should be read and handled using the [`Order Management\n      API`](https://docs.klarna.com/api/ordermanagement).  Read more on [Klarna\n      payments](https://docs.klarna.com/klarna-payments/).\nENDPOINTS :\n    - DELETE /payments/v1/authorizations/{authorizationToken}\n      Cancel an existing authorization\n    - POST /payments/v1/authorizations/{authorizationToken}/customer-token\n      Generate a consumer token\n    - POST /payments/v1/authorizations/{authorizationToken}/order\n      Create a new order\n    - POST /payments/v1/sessions\n      Create a new payment session\n    - GET /payments/v1/sessions/{session_id}\n      Read an existing payment session\n    - POST /payments/v1/sessions/{session_id}\n      Update an existing payment session;payment;payment;payment;payment
182.yaml;TITLE : Payments\nDESCRIPTION :\n      The Payments API enables apps to submit payment transactions on Civic Platform records. The Payments API provides\n      two ways of accepting payments:    ***Using third-party payment vendors***    Payment API endpoints that save\n      payment information from an external third-party payment vendor, to which the user is redirected for payment\n      processing:    **Initialize Payment** - Initializes a Civic Platform payment transaction with a citizen's payment\n      information such as record ID, third-party merchant account ID, and payment method. The Initialize Payment API\n      returns a transaction ID which should be used as the payment ID when calling the Commit Payment API to save [...]\nENDPOINTS :\n    - POST /v4/payments/initialize\n      Initialize Payment\n    - PUT /v4/payments/{id}\n      Commit Payment\n    - PUT /v4/payments/{paymentId}/void\n      Void Payment\n    - GET /v4/payments/transactions/{id}/fees\n      Get Transaction Fees\n    - GET /v4/invoices/{invoiceIds}\n      Get Invoices\n    - GET /v4/trustAccounts\n      Get All Trust Accounts\n    - GET /v4/shoppingCart\n      Get All Shopping Carts\n    - POST /v4/shoppingCart\n      Create Shopping Cart\n    - GET /v4/shoppingCart/{ids}\n      Get Shopping Carts\n    - DELETE /v4/shoppingCart/{ids}\n      Delete Shopping Carts\n    - PUT /v4/shoppingCart/{id}\n      Update Shopping Cart;payment;payment;;payment
183.yaml;"TITLE : Authentiq API\nDESCRIPTION :\n      Strong authentication, without the passwords.\nENDPOINTS :\n    - DELETE /key\n      Revoke an Authentiq ID using email & phone.  If called with `email` and `phone` only, a verification code  will be\n      sent by email. Do a second call adding `code` to  complete the revocation.\n    - POST /key\n      Register a new ID `JWT(sub, devtoken)`  v5: `JWT(sub, pk, devtoken, ...)`  See:\n      https://github.com/skion/authentiq/wiki/JWT-Examples\n    - DELETE /key/{PK}\n      Revoke an Identity (Key) with a revocation secret\n    - GET /key/{PK}\n      Get public details of an Authentiq ID.\n    - HEAD /key/{PK}\n      HEAD info on Authentiq ID\n    - POST /key/{PK}\n      update properties of an Authentiq ID. (not operational in v4; use PUT for now)  v5: POST issuer-signed email &\n      phone scopes in a self-signed JWT  See: https://github.com/skion/authentiq/wiki/JWT-Examples\n    - PUT /key/{PK}\n      Update Authentiq ID by replacing the object.  v4: `JWT(sub,email,phone)` to bind email/phone hash;   v5: POST\n      issuer-signed email & phone scopes and PUT to update registration `JWT(sub, pk, devtoken, ...)`  See:\n      https://github.com/skion/authentiq/wiki/JWT-Examples\n    - POST /login\n      push sign-in request See: https://github.com/skion/authentiq/wiki/JWT-Examples\n    - POST /scope\n      scope verification request See: https://github.com/skion/authentiq/wiki/JWT-Examples\n    - DELETE /scope/{job}\n      delete a verification job\n    - GET /scope/{job}\n      get the status / current content of a verification job\n    - HEAD /scope/{job}\n      HEAD to get the status of a verification job\n    - POST /scope/{job}\n      this is a scope confirmation\n    - PUT /scope/{job}\n      authority updates a JWT with its signature See: https://github.com/skion/authentiq/wiki/JWT-Examples";user-password;user-password;user-password;user-password
184.yaml;TITLE : EzTransfersService\nDESCRIPTION :\n      Ez Transfers API between Avanz Bank and BAC Florida Bank.\nENDPOINTS :\n    - PUT /EzTransfersService/UpdateEzTransferBPStatus\n      Update BP to set the status approved or discarded\n    - POST /EzTransfersService/EzTransfersIncomingTransfer\n      Creates a new incoming transfer\n    - POST /EzTransfersService/EzTransfersValidateAccount\n      Validates accounts for incoming transfers;transfer;transfer;transfer;transfer
185.yaml;TITLE : NOWPayments API\nDESCRIPTION :\n      NOWPayments is a non-custodial cryptocurrency payment processing platform. Accept payments in a wide range of\n      cryptos and get them instantly converted into a coin of your choice and sent to your wallet. Keeping it simple –\n      no excess.  # Sandbox  Before production usage, you can test our API using the Sandbox. Details can be found\n      [here](https://documenter.getpostman.com/view/7907941/T1LSCRHC)  # Authentication  To use the NOWPayments API you\n      should do the following:  *   Sign up at [nowpayments.io](https://nowpayments.io) *   Specify your outcome wallet\n      *   Generate an API key       # Standard e-commerce flow for NOWPayments API:  1.  API - Check API [...]\nENDPOINTS :\n    - GET /v1/estimate\n      Get estimated price\n    - GET /v1/min-amount\n      Get the minimum payment amount\n    - GET /v1/payment/\n      Get list of payments\n    - POST /v1/payment/{id}/update-merchant-estimate\n      Get/Update payment estimate\n    - GET /v1/payment/{payment_id}\n      Get payment status\n    - POST /v1/payout/{withdrawals-id}/verify\n      Verify payout\n    - GET /v1/sub-partner\n      Get sub-partners\n    - GET /v1/sub-partner/balance/{id}\n      Get sub-partner balance\n    - GET /v1/sub-partner/transfer/{id}\n      Get transfer\n    - GET /v1/sub-partner/transfers\n      Get all transfers\n    - GET /v1/subscriptions\n      Get many recurring payments\n    - GET /v1/subscriptions/plans\n      Get many plans\n    - GET /v1/subscriptions/plans/{plan-id}\n      Get one plan\n    - PATCH /v1/subscriptions/plans/{plan-id}\n      Update plan\n    - DELETE /v1/subscriptions/{sub_id}\n      Delete recurring payment\n    - GET /v1/subscriptions/{sub_id}\n      Get one recurring payment;payment;blockchain;payment;payment
187.yaml;TITLE : Afluenta API - Argentina\nDESCRIPTION :\n      Service of personal data validation, credit rating and loan request\nENDPOINTS :\n    - POST /borrower/loan/request/pre-approval\n    - GET /helpers/loan/purposes/\n      Provide a list of purposes enabled by country according the Afluenta model\n    - GET /helpers/identities/{idcountry}\n      Provide a list of kind of identies enabled by countries to identify the customer;loan-mortgage;loan-mortgage;loan-mortgage;loan-mortgage
188.yaml;TITLE : eToroX HTTP Trading API\nDESCRIPTION :\n      eToroX HTTP Trading API\nENDPOINTS :\n    - GET /v1/time\n      Get the server time in ISO 8601 format including milliseconds\n    - GET /v1/currencies\n      Get available currencies\n    - GET /v1/instruments\n      Get available instruments for trading\n    - GET /v1/instruments/{instrumentId}/depth\n      Get the instrument depth\n    - GET /v1/instruments/{instrumentId}/timesales\n      Get the instrument time and sales data\n    - GET /v1/profile\n      Get profile\n    - GET /v1/orders\n      Get orders details\n    - POST /v1/orders\n      Place a new order\n    - DELETE /v1/orders\n      Cancel a previously placed orders\n    - GET /v1/orders/{clientOrderId}\n      Get a single order by client order id\n    - DELETE /v1/orders/{clientOrderId}\n      Cancel a previously placed order by client order id\n    - GET /v1/trades\n      Get a list of recent trades\n    - GET /v1/portfolio\n      Get portfolio data;trading;trading;trading;trading
189.yaml;TITLE : Investment Change API\nDESCRIPTION :\n      API for processing investment changes in Defined Contribution plans. This includes fund transfer, fund\n      reallocation, elections towards future investment contributions, and auto rebalance elections.\nENDPOINTS :\n    - GET /investmentchange/eligibleBusinessProcesses\n      Get Investment Change Eligible Business Processes.\n    - GET /investmentchange/{businessProcessId}\n      Get Investment Change Business Process.\n    - POST /investmentchange/personInvestmentChange/validate\n      Validates an Investment Change Business Process.\n    - POST /investmentchange/personInvestmentChange\n      Commits Investment Change Business Process.\n    - PUT /investmentchange/personInvestmentChange/{businessProcessReferenceId}/cancel\n      Cancels a pending Investment Change Business Process.;other;savings;savings;savings
19.yaml;TITLE : Payment Account Reference Inquiry API\nDESCRIPTION :\n      The Payment Account Reference Inquiry API is the unified Mastercard interface for allowing Mastercard Customers\n      involved in payment card acceptance -- whether Merchants, Acquirers, or Digital Activity Customers (DACs) -- to\n      enquire the PAR Vault for getting the PAR, when providing an Account Primary Account Number (PAN) linked to a\n      digitized PAN.\nENDPOINTS :\n    - POST /par/paymentaccountreference/1/0/getPaymentAccountReference\n      Submit an encrypted PAN to obtain the PAR linked to the account.;payment;payment;payment;payment
190.yaml;TITLE : Hypothekenverlängerung API\nDESCRIPTION :\n      API for fix mortgage extension.\nENDPOINTS :\n    - GET /offer-details\n      Finance data including mortgage(s) that can be renewed\n    - POST /offer-confirmation\n      Extends the chosen mortgage in Avaloq core system\n    - POST /interest-rates\n      Calculates and returns new interest rates based on the inputs from customer;loan-mortgage;loan-mortgage;loan-mortgage;loan-mortgage
191.yaml;TITLE : Timezone Currency Country API\nDESCRIPTION :\n      # Description An api that allows the users to access the list of supported Countries, States, Currencies and\n      Timezones  # Endpoints  1. `/Countries`  2. `/TimeZones`  3. `/Currencies`   ## Helpful links  | Endpoint |\n      Helpful link |  | Countries| https://countrycode.org/|  | Timezones| https://www.timeanddate.com/time/zones/|  |\n      Currency | https://justforex.com/education/currencies|\nENDPOINTS :\n    - GET /Country\n      Get all countries\n    - GET /Timezone\n      Get all timezones\n    - GET /Currencies\n      Get all currencies;currency;currency;currency;currency
192.yaml;TITLE : NeoFinance PSD2 API\nDESCRIPTION :\n      # Summary The **NextGenPSD2** *Framework offers a modern, open, harmonised and interoperable set of  Application\n      Programming Interfaces (APIs) as the safest and most efficient way to provide data securely.  The NextGenPSD2\n      Framework reduces XS2A complexity and costs, addresses the problem of multiple competing standards  in Europe and,\n      aligned with the goals of the Euro Retail Payments Board, enables European banking customers to benefit from\n      innovative products and services ('Banking as a Service')  by granting TPPs safe and secure (authenticated and\n      authorised) access to their bank accounts and financial data.  The possible Approaches are:   * Redirect SCA [...]\nENDPOINTS :\n    - GET /oauth/v2/auth\n      This one must be given to client to get authorisation code (use authorisation server)\n    - POST /oauth/v2/token\n      Having authorisation code returns accessToken (use api server)\n    - POST /api/v1/{payment-service}/{payment-product}\n      Payment initiation request\n    - GET /api/v1/{payment-service}/{payment-product}/{paymentId}\n      Get Payment Information\n    - GET /api/v1/{payment-service}/{payment-product}/{paymentId}/status\n      Payment initiation status request\n    - GET /api/v1/{payment-service}/{payment-product}/{paymentId}/authorisations\n      Get Payment Initiation Authorisation Sub-Resources Request\n    - POST /api/v1/{payment-service}/{payment-product}/{paymentId}/authorisations\n      Start the authorisation process for a payment initiation\n    - GET /api/v1/{payment-service}/{payment-product}/{paymentId}/authorisations/{authorisationId}\n      Read the SCA Status of the payment authorisation\n    - GET /api/v1/accounts\n      Read Account List\n    - GET /api/v1/list/accounts\n      Read Account List\n    - GET /api/v1/accounts/{account-id}\n      Read Account Details\n    - GET /api/v1/accounts/{account-id}/balances\n      Read Balance\n    - GET /api/v1/accounts/{account-id}/transactions/\n      Read transaction list of an account\n    - GET /api/v1/accounts/{account-id}/transactions/{resourceId}\n      Read Transaction Details\n    - POST /api/v1/consents\n      Create consent\n    - GET /api/v1/consents/{consentId}\n      Get Consent Request\n    - DELETE /api/v1/consents/{consentId}\n      Delete Consent\n    - GET /api/v1/consents/{consentId}/status\n      Consent status request;user-password;banking;banking;banking
193.yaml;TITLE : Credit API\nDESCRIPTION :\n      ARF provides Credit API that enables you to initiate international money transfers using Arf Credit\nENDPOINTS :\n    - GET /api/transactions/payouts\n      List Payouts\n    - POST /api/transactions/payouts\n      Create Payout\n    - POST /api/rate/quotation\n      Create Quotation\n    - GET /api/accounts\n      List Accounts\n    - POST /api/accounts\n      Create Sender, Beneficiary Accounts\n    - GET /api/transactions/payouts/{payout_id}\n      Retrieve Payout\n    - GET /api/accounts/{account_id}\n      Retrieve Account;payment;transfer;transfer;transfer
194.yaml;TITLE : Instant Payment Transfer (IPT)\nDESCRIPTION :\n      The Instant Payment Transfer API will enable a financial institution to send another financial institution an\n      instant payment via an API\nENDPOINTS :\n    - POST /fi/instant\n      Initiate Instant Payment;payment;transfer;transfer;transfer
195.yaml;TITLE : cryptoterminal.io\nDESCRIPTION :\n      These are the available APIs for Cryptoterminal.  You can find  out more about Cryptoterminal at\n      [http://cryptoterminal.io](http://cryptoterminal.io)\nENDPOINTS :\n    - GET /alert\n      Get alerts without any filter (15 per request)\n    - GET /alert/coin/{coin}\n      filter alerts by coin\n    - GET /alert/exchange/{exchange}\n      filter alerts by exchange\n    - GET /alert/coin/{coin}/{exchange}\n      filter alerts by coin and exchange\n    - GET /headline\n      Get headlines without any filter (15 per request)\n    - GET /headline/coin/{coin}\n      filter headlines by coin\n    - GET /headline/source/{source}\n      filter alerts by source\n    - GET /headline/search/{searchString}\n      filter alerts by search string\n    - GET /price/{coin}/{exchange}/{period}\n      Get price data for coin by exchange and period;trading;blockchain;blockchain;blockchain
196.yaml;TITLE : BaobabCoreAPI\nDESCRIPTION :\n      Baobab core banking service API\nENDPOINTS :\n    - GET /customer/{country_code}/{customer_id}\n      Get Customer Information\n    - PATCH /customer/{country_code}/{customer_id}\n      Update Customer Information\n    - GET /loans/{country_code}/{loan_id}\n      Get Loan Record Details\n    - GET /loans/{country_code}/nano/products\n      Get Nano Loan Products\n    - GET /loans/{country_code}/nano/{product_code}/check/{loan_amount}\n      Check Nano Loan Amount\n    - POST /loans/{country_code}/nano\n      Disburse New Nano Loan\n    - POST /loans/{country_code}/nano/repay\n      Repay Nano Loan\n    - GET /​transfer​/{country_code}​/fee\n      Get Fund Transfer Fee\n    - GET /transfer/{country_code}/mytransfer/{account_number}\n      Get List Of Fund Transfer Transactions\n    - GET /transfer/{country_code}/mobilewalletoperators\n      Get Mobile Wallet Operators By Country\n    - POST /transfer/{country_code}/intrabank\n      Baobab To Baobab Fund Transfer\n    - POST /transfer/{country_code}/authenticate\n      Authenticate Fund Transfer Request\n    - POST /transfer/{country_code}/mobilewallet\n      Fund Transfer Between Mobile Wallet And Baobab Account;transfer;banking;banking;banking
197.yaml;TITLE : Fintech Clearing API v2\nDESCRIPTION :\n      This API is used to add and update clearing information for investments to FintechClearing.com.\nENDPOINTS :\n    - POST /v2/investments\n      Add a new investment for an offering\n    - PUT /v2/investments/{uuid}\n      Update an investment for an offering with new data;loan-mortgage;savings;savings;savings
198.yaml;TITLE : Credit/Charge Card\nDESCRIPTION :\n      API Specification for Credit/Charge Card Service Domain\nENDPOINTS :\n    - GET /credit_card/{account_id}\n      Retrieve Account\n    - GET /credit_card/{account_id}/account_holder\n      Retrieve Account Holder\n    - GET /credit_card/{account_id}/balance\n      Retrieve Balance\n    - PUT /credit_card/{account_id}/billing/execution\n      Execute Billing\n    - GET /credit_card/{account_id}/interests\n      Retrieve Interests\n    - GET /credit_card/{account_id}/interests/{name}\n      Retrieve Named Interest\n    - GET /credit_card/{account_id}/interests/{name}/rate\n      Retrieve Named Interest Rate\n    - PUT /credit_card/{account_id}/transactions/execution\n      Execute Transaction\n    - GET /credit_card/{account_id}/transactions/{txn_id}\n      Retrieve Transaction;client;banking;banking;banking
